StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_Prolific_P2,ParticipantID,PROLIFIC_PID,PID
9/3/2022 7:30,9/3/2022 7:30,IP Address,100,26,TRUE,9/3/2022 7:30,R_b2dYbKPkEYfuPxT,,,,,anonymous,EN,Yes,,5dd7fa1afce606793102da28,5dd7fa1afce606793102da28
9/3/2022 7:30,9/3/2022 7:31,IP Address,100,28,TRUE,9/3/2022 7:31,R_1oI5j8BKj14kbCj,,,,,anonymous,EN,Yes,,5f78ffb7859b2e500488f5d1,5f78ffb7859b2e500488f5d1
9/3/2022 7:36,9/3/2022 7:36,IP Address,100,19,TRUE,9/3/2022 7:36,R_2dLnnRsFiJrdGuf,,,,,anonymous,EN,Yes,,5ee11eb5636ea94d3ad43e3b,5ee11eb5636ea94d3ad43e3b
9/3/2022 7:37,9/3/2022 7:38,IP Address,100,32,TRUE,9/3/2022 7:38,R_2xPNXbInZthKBEP,,,,,anonymous,EN,Yes,,5f4bdc989ed8777ca5c963b3,5f4bdc989ed8777ca5c963b3
9/3/2022 7:39,9/3/2022 7:39,IP Address,100,9,TRUE,9/3/2022 7:39,R_wYQUGvf7S9Rj2N3,,,,,anonymous,EN,Yes,,62cbf0a272c4c044c572343c,62cbf0a272c4c044c572343c
9/3/2022 7:40,9/3/2022 7:41,IP Address,100,26,TRUE,9/3/2022 7:41,R_3KooKRIiAJfGvGQ,,,,,anonymous,EN,Yes,,597e78d513dc5e0001e2f818,597e78d513dc5e0001e2f818
9/3/2022 7:42,9/3/2022 7:42,IP Address,100,26,TRUE,9/3/2022 7:42,R_2fHic86Ahl6IYnC,,,,,anonymous,EN,Yes,,5aeafd36c8a6fd0001d8422c,5aeafd36c8a6fd0001d8422c
9/3/2022 7:43,9/3/2022 7:44,IP Address,100,44,TRUE,9/3/2022 7:44,R_1gu2P7YRyCj3jSk,,,,,anonymous,EN,Yes,,62c79dafb9222348d5e5a90c,62c79dafb9222348d5e5a90c
9/3/2022 7:44,9/3/2022 7:45,IP Address,100,37,TRUE,9/3/2022 7:45,R_2wKsg6ed3jr7Iv8,,,,,anonymous,EN,Yes,,60469275f75cd607f61fb973,60469275f75cd607f61fb973
9/3/2022 7:44,9/3/2022 7:45,IP Address,100,66,TRUE,9/3/2022 7:45,R_3F23wwiJqBJldTp,,,,,anonymous,EN,Yes,,5b0fa626bd9c310001568d6c,5b0fa626bd9c310001568d6c
9/3/2022 7:46,9/3/2022 7:49,IP Address,100,195,TRUE,9/3/2022 7:49,R_e5w5CTV870OP14Z,,,,,anonymous,EN,Yes,,614f22dfa54d9361b45c3052,614f22dfa54d9361b45c3052
9/3/2022 7:54,9/3/2022 7:54,IP Address,100,28,TRUE,9/3/2022 7:54,R_2fycMt2tac8cbvr,,,,,anonymous,EN,Yes,,62ea3271cc6c19525f896495,62ea3271cc6c19525f896495
9/3/2022 7:55,9/3/2022 7:55,IP Address,100,19,TRUE,9/3/2022 7:55,R_2frJNQvhcE6lVZr,,,,,anonymous,EN,Yes,,628be2a982b04281c95ddf81,628be2a982b04281c95ddf81
9/3/2022 8:03,9/3/2022 8:03,IP Address,100,9,TRUE,9/3/2022 8:03,R_Dw8kOZmsCMHYYy5,,,,,anonymous,EN,Yes,,62ee63b3db5c7b508cb356ec,62ee63b3db5c7b508cb356ec
9/3/2022 8:00,9/3/2022 8:03,IP Address,100,187,TRUE,9/3/2022 8:03,R_12bdgn7cwnv1vKj,,,,,anonymous,EN,Yes,,5e9f70a9eec34b1108c84413,5e9f70a9eec34b1108c84413
9/3/2022 8:04,9/3/2022 8:04,Spam,100,7,TRUE,9/3/2022 8:04,R_31sJPlyVy0IhOtx,,,,,anonymous,EN,Yes,,62ee63b3db5c7b508cb356ec,62ee63b3db5c7b508cb356ec
9/3/2022 8:13,9/3/2022 8:14,IP Address,100,45,TRUE,9/3/2022 8:14,R_AAKTbiP0lpVqUA9,,,,,anonymous,EN,Yes,,610008383c0a128712403745,610008383c0a128712403745
9/3/2022 8:32,9/3/2022 8:37,IP Address,100,251,TRUE,9/3/2022 8:37,R_1DMFJbpklIAiZ50,,,,,anonymous,EN,Yes,,62711f73b2dbf1f1867a703c,62711f73b2dbf1f1867a703c
9/3/2022 8:39,9/3/2022 8:39,IP Address,100,21,TRUE,9/3/2022 8:39,R_3PM3oYs87LKcLS7,,,,,anonymous,EN,Yes,,5a0f3abf6e1ea9000124eeaf,5a0f3abf6e1ea9000124eeaf
9/3/2022 8:40,9/3/2022 8:41,IP Address,100,40,TRUE,9/3/2022 8:41,R_2Ytc4uJ0ZtkeI66,,,,,anonymous,EN,Yes,,600311bfedefe536b70dbca0,600311bfedefe536b70dbca0
9/3/2022 8:48,9/3/2022 8:48,IP Address,100,11,TRUE,9/3/2022 8:48,R_8wgoCij3SJFRyMh,,,,,anonymous,EN,Yes,,5c1a4d7d1aea120001fdd685,5c1a4d7d1aea120001fdd685
9/3/2022 8:40,9/3/2022 8:50,IP Address,100,589,TRUE,9/3/2022 8:50,R_21mvsqkKjJmVBjw,,,,,anonymous,EN,Yes,,5a81a9f0ae9a0b0001a9c63a,5a81a9f0ae9a0b0001a9c63a
9/3/2022 8:59,9/3/2022 9:00,IP Address,100,20,TRUE,9/3/2022 9:00,R_dijxd7SAjzul7MJ,,,,,anonymous,EN,Yes,,5977e3867412f8000194e1fe,5977e3867412f8000194e1fe
9/3/2022 9:01,9/3/2022 9:01,IP Address,100,26,TRUE,9/3/2022 9:01,R_1F8iWtWQPKv11iN,,,,,anonymous,EN,Yes,,62dccf664ff0895a60cfdda2,62dccf664ff0895a60cfdda2
9/3/2022 9:05,9/3/2022 9:05,IP Address,100,17,TRUE,9/3/2022 9:05,R_2YE8iH4tOYgCGwZ,,,,,anonymous,EN,Yes,,5aa6e29435237b0001130d68,5aa6e29435237b0001130d68
9/3/2022 9:06,9/3/2022 9:07,IP Address,100,99,TRUE,9/3/2022 9:07,R_3khQ3s9moPb3bHU,,,,,anonymous,EN,Yes,,5f7a43fe18c1f614b4529aa9,5f7a43fe18c1f614b4529aa9
9/3/2022 9:09,9/3/2022 9:09,IP Address,100,12,TRUE,9/3/2022 9:09,R_0e3kttPEEOHQWbv,,,,,anonymous,EN,Yes,,5cba1809102bd400130c19e7,5cba1809102bd400130c19e7
9/3/2022 9:11,9/3/2022 9:11,IP Address,100,16,TRUE,9/3/2022 9:11,R_zTIdXTTVsFvvTSV,,,,,anonymous,EN,Yes,,5c2dae2110677f0001dd1137,5c2dae2110677f0001dd1137
9/3/2022 9:10,9/3/2022 9:13,IP Address,100,141,TRUE,9/3/2022 9:13,R_2w7jdWTi8hWxZbG,,,,,anonymous,EN,Yes,,5eebe3f7507eb33cfc5536a6,5eebe3f7507eb33cfc5536a6
9/3/2022 9:17,9/3/2022 9:17,IP Address,100,9,TRUE,9/3/2022 9:17,R_0Pa7aUZCFrduvdv,,,,,anonymous,EN,Yes,,5f484cef1d9c4630fdf85265,5f484cef1d9c4630fdf85265
9/3/2022 9:17,9/3/2022 9:19,IP Address,100,137,TRUE,9/3/2022 9:19,R_33dIsmvMdejAXGI,,,,,anonymous,EN,Yes,,5caa4435fd086000196ddf13,5caa4435fd086000196ddf13
9/3/2022 9:24,9/3/2022 9:24,IP Address,100,30,TRUE,9/3/2022 9:24,R_12nV2dBBGE23VEU,,,,,anonymous,EN,Yes,,60fc5d49ff20168d794fe083,60fc5d49ff20168d794fe083
9/3/2022 9:23,9/3/2022 9:25,IP Address,100,105,TRUE,9/3/2022 9:25,R_bf2KodDYE69H0Jz,,,,,anonymous,EN,Yes,,60051d10e63710373daee6e7,60051d10e63710373daee6e7
9/3/2022 9:26,9/3/2022 9:26,IP Address,100,25,TRUE,9/3/2022 9:26,R_1mhdzyni5EBavl2,,,,,anonymous,EN,Yes,,6091ebb375f9f6e9e1acaef8,6091ebb375f9f6e9e1acaef8
9/3/2022 9:29,9/3/2022 9:30,IP Address,100,67,TRUE,9/3/2022 9:31,R_3JyqUIhfHam3MCc,,,,,anonymous,EN,Yes,,611291090e626fdfde536f38,611291090e626fdfde536f38
9/3/2022 9:34,9/3/2022 9:34,IP Address,100,33,TRUE,9/3/2022 9:34,R_3kv8w5mXWJzwsvg,,,,,anonymous,EN,Yes,,614795c351b6c8373e6225fb,614795c351b6c8373e6225fb
9/3/2022 9:32,9/3/2022 9:35,IP Address,100,150,TRUE,9/3/2022 9:35,R_2w17M5Pm4ufTQXh,,,,,anonymous,EN,Yes,,62eab49b3494af2a6cb7348d,62eab49b3494af2a6cb7348d
9/3/2022 9:35,9/3/2022 9:36,IP Address,100,31,TRUE,9/3/2022 9:36,R_2zC3UcZ603HM0Uh,,,,,anonymous,EN,Yes,,6101d7d0ee4b4bd732136ee7,6101d7d0ee4b4bd732136ee7
9/3/2022 9:46,9/3/2022 9:47,IP Address,100,60,TRUE,9/3/2022 9:47,R_3WqaCEQLkfkVjxv,,,,,anonymous,EN,Yes,,614fca8245a450546842e487,614fca8245a450546842e487
9/3/2022 9:46,9/3/2022 9:47,IP Address,100,91,TRUE,9/3/2022 9:47,R_22V4UDTnqFPvFen,,,,,anonymous,EN,Yes,,5df040fa82b88c0a7c698dd8,5df040fa82b88c0a7c698dd8
9/3/2022 9:47,9/3/2022 9:48,IP Address,100,64,TRUE,9/3/2022 9:48,R_1LXzkcICK0CZsjR,,,,,anonymous,EN,Yes,,5d6420263e95f50001053ce4,5d6420263e95f50001053ce4
